,Movie,Release_date,Language,Runtime,Budget,Revenue,Unnamed: 0,Name,Genre,Rating,Votes,BoxOffice,Year
0,The Avengers,"May  4, 2012", English,2h 23m,"$220,000,000.00","$1,519,557,910.00",0,The Avengers,"Action, Adventure, Sci-Fi",8.1,1134273,"623,357,910",2012
1,Snow White and the Huntsman,"June  1, 2012", English,2h 7m,"$170,000,000.00","$396,600,000.00",16,Snow White and the Huntsman,"Action, Adventure, Drama",6.1,253972,"155,332,381",2012
2,The Hobbit: An Unexpected Journey,"December 14, 2012", English,2h 49m,"$250,000,000.00","$1,021,103,568.00",4,The Hobbit: An Unexpected Journey,"Adventure, Family, Fantasy",7.9,705872,"303,003,568",2012
3,Brave,"June 22, 2012", English,1h 33m,"$185,000,000.00","$538,983,207.00",7,Brave,"Animation, Adventure, Comedy",7.1,324942,"237,283,207",2012
4,The Dark Knight Rises,"July 20, 2012", English,2h 45m,"$250,000,000.00","$1,084,939,099.00",1,The Dark Knight Rises,"Action, Thriller",8.4,1343225,"448,139,099",2012
5,Django Unchained,"December 11, 2012", English,2h 45m,"$100,000,000.00","$425,368,238.00",14,Django Unchained,"Drama, Western",8.4,1164954,"162,805,434",2012
6,The Amazing Spider-Man,"July  4, 2012", English,2h 16m,"$215,000,000.00","$752,215,857.00",6,The Amazing Spider-Man,"Action, Adventure, Sci-Fi",7,511325,"262,030,663",2012
7,Skyfall,"November  9, 2012", English,2h 23m,"$200,000,000.00","$1,108,561,013.00",3,Skyfall,"Action, Adventure, Thriller",7.8,580191,"304,360,277",2012
8,Sexual Chronicles of a French Family,"June  1, 2012", French,1h 21m,,,,,,,,,
9,The Lorax,"March  1, 2012", English,1h 26m,"$70,000,000.00","$348,840,316.00",10,The Lorax,"Animation, Adventure, Comedy",6.4,87926,"214,030,500",2012
10,Hotel Transylvania,"September 28, 2012", English,1h 31m,"$85,000,000.00","$358,375,603.00",18,Hotel Transylvania,"Animation, Comedy, Family",7.1,197900,"148,313,048",2012
11,Wreck-It Ralph,"November  2, 2012", English,1h 48m,"$165,000,000.00","$471,222,889.00",11,Wreck-It Ralph,"Animation, Adventure, Comedy",7.7,322733,"189,422,889",2012
12,Ice Age: Continental Drift,"July 13, 2012", English,1h 28m,"$95,000,000.00","$877,244,782.00",15,Ice Age: Continental Drift,"Animation, Adventure, Comedy",6.6,168956,"161,321,843",2012
13,Mirror Mirror,"March 30, 2012", English,1h 46m,"$85,000,000.00","$183,018,522.00",48,Mirror Mirror,"Adventure, Comedy, Drama",5.6,77835,"64,935,167",2012
14,The Twilight Saga: Breaking Dawn - Part 2,"November 16, 2012", English,1h 55m,"$120,000,000.00","$829,000,000.00",5,The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Drama, Fantasy",5.5,208987,"292,298,923",2012
15,I Want You,"June 22, 2012", Castilian,1h 15m,,,,,,,,,
16,Argo,"October 12, 2012", English,2h 0m,"$44,500,000.00","$232,324,128.00",21,Argo,"Biography, Drama, Thriller",7.7,521869,"136,025,503",2012
17,Prometheus,"June  8, 2012", English,2h 4m,"$130,000,000.00","$403,170,142.00",23,Prometheus,"Adventure, Mystery, Sci-Fi",7,527789,"126,477,084",2012
18,Wrong Turn 5: Bloodlines,"October 23, 2012", English,1h 31m,,,,,,,,,
19,Rise of the Guardians,"November 21, 2012", English,1h 37m,"$145,000,000.00","$306,941,670.00",30,Rise of the Guardians,"Animation, Adventure, Family",7.3,141120,"103,412,758",2012
20,Madagascar 3: Europe's Most Wanted,"June  8, 2012", English,1h 33m,"$145,000,000.00","$746,921,274.00",9,Madagascar 3: Europe's Most Wanted,"Animation, Adventure, Comedy",6.9,140245,"216,391,482",2012
