,Name,Genre,Rating,Votes,BoxOffice,Year
0,The Avengers,"Action, Adventure, Sci-Fi",8.1,1134273,"623,357,910",2012
1,The Dark Knight Rises,"Action, Thriller",8.4,1343225,"448,139,099",2012
2,The Hunger Games,"Adventure, Sci-Fi, Thriller",7.2,779338,"408,010,692",2012
3,Skyfall,"Action, Adventure, Thriller",7.8,580191,"304,360,277",2012
4,The Hobbit: An Unexpected Journey,"Adventure, Family, Fantasy",7.9,705872,"303,003,568",2012
5,The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Drama, Fantasy",5.5,208987,"292,298,923",2012
6,The Amazing Spider-Man,"Action, Adventure, Sci-Fi",7,511325,"262,030,663",2012
7,Brave,"Animation, Adventure, Comedy",7.1,324942,"237,283,207",2012
8,Ted,"Comedy, Fantasy, Romance",6.9,526499,"218,815,487",2012
9,Madagascar 3: Europe's Most Wanted,"Animation, Adventure, Comedy",6.9,140245,"216,391,482",2012
10,The Lorax,"Animation, Adventure, Comedy",6.4,87926,"214,030,500",2012
11,Wreck-It Ralph,"Animation, Adventure, Comedy",7.7,322733,"189,422,889",2012
12,Lincoln,"Biography, Drama, History",7.4,223754,"182,207,973",2012
13,Men in Black 3,"Action, Adventure, Comedy",6.8,299169,"179,020,854",2012
14,Django Unchained,"Drama, Western",8.4,1164954,"162,805,434",2012
15,Ice Age: Continental Drift,"Animation, Adventure, Comedy",6.6,168956,"161,321,843",2012
16,Snow White and the Huntsman,"Action, Adventure, Drama",6.1,253972,"155,332,381",2012
17,Les Misérables,"Drama, History, Musical",7.6,278177,"148,809,770",2012
18,Hotel Transylvania,"Animation, Comedy, Family",7.1,197900,"148,313,048",2012
19,Taken 2,"Action, Crime, Thriller",6.3,267022,"139,854,287",2012
20,21 Jump Street,"Action, Comedy, Crime",7.2,465840,"138,447,667",2012
21,Argo,"Biography, Drama, Thriller",7.7,521869,"136,025,503",2012
22,Silver Linings Playbook,"Comedy, Drama, Romance",7.7,605890,"132,092,958",2012
23,Prometheus,"Adventure, Mystery, Sci-Fi",7,527789,"126,477,084",2012
24,Safe House,"Action, Adventure, Crime",6.8,187570,"126,373,434",2012
25,The Vow,"Drama, Romance",6.8,169103,"125,014,030",2012
26,Life of Pi,"Adventure, Drama, Fantasy",7.9,516627,"124,987,023",2012
27,Magic Mike,"Comedy, Drama",6.1,121262,"113,721,571",2012
28,The Bourne Legacy,"Action, Adventure, Thriller",6.7,262668,"113,203,870",2012
29,Journey 2: The Mysterious Island,"Action, Adventure, Comedy",5.8,80640,"103,860,290",2012
30,Rise of the Guardians,"Animation, Adventure, Family",7.3,141120,"103,412,758",2012
31,Zero Dark Thirty,"Drama, Thriller",7.4,244119,"95,720,716",2012
32,Flight,"Drama, Thriller",7.3,295493,"93,772,375",2012
33,Think Like a Man,"Comedy, Romance",6.6,40121,"91,547,205",2012
34,The Campaign,Comedy,6.1,116703,"86,907,746",2012
35,The Expendables 2,"Action, Adventure, Thriller",6.6,272253,"85,017,401",2012
36,Wrath of the Titans,"Action, Adventure, Fantasy",5.7,168784,"83,670,083",2012
