,movie name,meter_score,audience_score
0,the avengers,,
1,the dark knight rises,87,90%
2,the hunger games,84,81%
3,skyfall,92,86%
4,the hobbit: an unexpected journey,92,86%
5,the twilight saga: breaking dawn - part 2,92,86%
6,the amazing spider-man,92,86%
7,brave,92,86%
8,ted,92,86%
9,madagascar 3: europe's most wanted,92,86%
10,the lorax,,83%
11,wreck-it ralph,,83%
12,lincoln,,83%
13,men in black 3,,83%
14,django unchained,,83%
15,ice age: continental drift,,83%
16,snow white and the huntsman,48,52%
17,les misérables,48,52%
18,hotel transylvania,44,72%
19,taken 2,22,53%
20,21 jump street,22,53%
21,argo,22,53%
22,silver linings playbook,92,86%
23,prometheus,,
24,safe house,,
25,the vow,,
26,life of pi,87,84%
27,magic mike,80,60%
28,the bourne legacy,56,58%
29,journey 2: the mysterious island,56,58%
30,rise of the guardians,74,80%
31,zero dark thirty,91,80%
32,flight,91,80%
33,think like a man,54,79%
34,the campaign,65,51%
35,the expendables 2,67,67%
36,wrath of the titans,,40%
37,jack reacher,63,67%
38,dark shadows,36,46%
39,parental guidance,36,46%
40,john carter,51,60%
41,act of valor,26,72%
42,this is 40,52,50%
43,contraband,52,50%
44,looper,93,82%
45,madea's witness protection,93,82%
46,battleship,34,54%
47,pitch perfect,80,83%
48,mirror mirror,,28%
49,chronicle,86,71%
50,hope springs,23,26%
51,underworld awakening,27,62%
52,the lucky one,21,67%
53,the dictator,21,67%
54,total recall,82,78%
55,american reunion,80,
56,paranorman,88,72%
57,this means war,25,56%
58,project x,,67%
59,the woman in black,,67%
60,paranormal activity 4,,67%
61,the devil inside,6,22%
62,the odd life of timothy green,35,67%
63,red tails,35,67%
64,the possession,40,48%
65,diary of a wimpy kid: dog days,40,48%
66,sinister,,17%
67,savages,89,74%
68,moonrise kingdom,93,86%
69,here comes the boom,40,65%
70,red dawn,40,65%
71,the three stooges,40,65%
72,resident evil: retribution,40,65%
73,the cabin in the woods,91,74%
74,what to expect when you're expecting,91,74%
75,end of watch,85,86%
76,rock of ages,85,86%
77,abraham lincoln: vampire hunter,85,86%
