Movie	Release_date	Language	Runtime	Budget	Revenue
The Avengers	May  4, 2012	 English	2h 23m	$220,000,000.00	$1,519,557,910.00
Snow White and the Huntsman	June  1, 2012	 English	2h 7m	$170,000,000.00	$396,600,000.00
The Hobbit: An Unexpected Journey	December 14, 2012	 English	2h 49m	$250,000,000.00	$1,021,103,568.00
Brave	June 22, 2012	 English	1h 33m	$185,000,000.00	$538,983,207.00
The Dark Knight Rises	July 20, 2012	 English	2h 45m	$250,000,000.00	$1,084,939,099.00
Django Unchained	December 11, 2012	 English	2h 45m	$100,000,000.00	$425,368,238.00
The Amazing Spider-Man	July  4, 2012	 English	2h 16m	$215,000,000.00	$752,215,857.00
Skyfall	November  9, 2012	 English	2h 23m	$200,000,000.00	$1,108,561,013.00
Sexual Chronicles of a French Family	June  1, 2012	 French	1h 21m		
The Lorax	March  1, 2012	 English	1h 26m	$70,000,000.00	$348,840,316.00
Hotel Transylvania	September 28, 2012	 English	1h 31m	$85,000,000.00	$358,375,603.00
Wreck-It Ralph	November  2, 2012	 English	1h 48m	$165,000,000.00	$471,222,889.00
Ice Age: Continental Drift	July 13, 2012	 English	1h 28m	$95,000,000.00	$877,244,782.00
Mirror Mirror	March 30, 2012	 English	1h 46m	$85,000,000.00	$183,018,522.00
The Twilight Saga: Breaking Dawn - Part 2	November 16, 2012	 English	1h 55m	$120,000,000.00	$829,000,000.00
I Want You	June 22, 2012	 Castilian	1h 15m		
Argo	October 12, 2012	 English	2h 0m	$44,500,000.00	$232,324,128.00
Prometheus	June  8, 2012	 English	2h 4m	$130,000,000.00	$403,170,142.00
Wrong Turn 5: Bloodlines	October 23, 2012	 English	1h 31m		
Rise of the Guardians	November 21, 2012	 English	1h 37m	$145,000,000.00	$306,941,670.00
Madagascar 3: Europe's Most Wanted	June  8, 2012	 English	1h 33m	$145,000,000.00	$746,921,274.00
Madagascar 3: Europe's Most Wanted	June  8, 2012	 English	1h 33m	$145,000,000.00	$746,921,274.00
The Hunger Games	March 23, 2012	 English	2h 22m	$75,000,000.00	$691,210,692.00
Men in Black 3	May 25, 2012	 English	1h 46m	$225,000,000.00	$624,026,776.00
Life of Pi	November 21, 2012	 English	2h 7m	$120,000,000.00	$609,016,565.00
Silver Linings Playbook	December 25, 2012	 English	2h 2m	$21,000,000.00	$236,412,453.00
21 Jump Street	March 12, 2012	 English	1h 49m	$42,000,000.00	$201,585,328.00
The Bourne Legacy	August 10, 2012	 English	2h 15m	$130,000,000.00	$276,572,938.00
Christmas Crush	November 17, 2012	 English	1h 28m		
The Expendables 2	August 17, 2012	 English	1h 43m	$100,000,000.00	$312,573,423.00
Jack Reacher	December 21, 2012	 English	2h 10m	$60,000,000.00	$218,340,595.00
The Perks of Being a Wallflower	September 21, 2012	 English	1h 43m	$13,000,000.00	$33,400,000.00
The Cabin in the Woods	March  9, 2012	 English	1h 35m	$30,000,000.00	$70,742,948.00
Ted	June 29, 2012	 English	1h 46m	$50,000,000.00	$549,368,315.00
Looper	September 28, 2012	 English	1h 58m	$30,000,000.00	$47,042,000.00
Safe	April 16, 2012	 English	1h 34m	$30,000,000.00	$40,346,186.00
Step Up Revolution	July 27, 2012	 English	1h 39m	$33,000,000.00	$140,470,746.00
The Grey	December 11, 2011	 English	1h 57m	$25,000,000.00	$77,278,331.00
Silent Hill: Revelation 3D	October 26, 2012	 English	1h 34m	$20,000,000.00	$52,302,796.00
Battleship	May 18, 2012	 English	2h 11m	$209,000,000.00	$303,025,485.00
Pitch Perfect	September 28, 2012	 English	1h 52m	$17,000,000.00	$115,350,426.00
